,Fossil Hard coal,Fossil Gas,Nuclear,ETS,A1,P20
166,6.1152,11.32,5.1,26.15,0.19436118434124,0.4657350037580994
167,5.8716,11.57,5.1,26.12,0.19865361332183268,0.47627656576160415
168,5.8716,11.035,5.1,26.22,0.18946781530336418,0.45371762307410357
169,5.8716,10.485,5.1,26.07,0.1800244715460602,0.430526186666393
170,5.8716,10.15,5.1,26.2,0.17427261671206593,0.4164004935816962
171,5.8716,10.355,5.1,26.42,0.17779240847615205,0.4250445744245705
172,5.8716,10.355,5.1,26.42,0.17779240847615205,0.4250445744245705
173,5.8716,10.355,5.1,26.42,0.17779240847615205,0.4250445744245705
174,5.8872,10.2,5.1,27.53,0.17513110250818445,0.4185088059823969
175,5.8872,9.845,5.1,27.64,0.16903585335574292,0.40353978793742035
176,5.8872,9.62,5.1,28.65,0.1651726672732093,0.3940523821342657
177,5.8872,9.375,5.1,28.15,0.16096608687222844,0.3837216513708309
178,5.8872,10.115,5.1,27.5,0.17367167665478306,0.4149246749012056
179,5.8872,10.115,5.1,27.5,0.17367167665478306,0.4149246749012056
180,5.8872,10.115,5.1,27.5,0.17367167665478306,0.4149246749012056
181,6.393599999999999,10.365,5.1,28.17,0.17796410563537574,0.4254662369047105
182,6.393599999999999,10.225,5.1,27.98,0.17556034540624382,0.4195629621827478
183,6.393599999999999,10.295,5.1,27.78,0.17676222552080972,0.42251459954372905
184,6.393599999999999,10.295,5.1,27.28,0.17676222552080972,0.42251459954372905
185,6.393599999999999,11.215,5.1,27.67,0.19255836416939115,0.4613075477166274
186,6.393599999999999,11.215,5.1,27.67,0.19255836416939115,0.4613075477166274
187,6.393599999999999,11.215,5.1,27.67,0.19255836416939115,0.4613075477166274
188,6.909599999999999,11.88,5.1,28.16,0.20397622525776787,0.48934810264595086
189,6.909599999999999,11.76,5.1,27.9,0.20191585934708334,0.48428815288426824
190,6.909599999999999,12.135,5.1,29.65,0.20835450281797255,0.5001004958895258
191,6.909599999999999,13.13,5.1,29.71,0.22543837016073173,0.5420559126634756
192,6.909599999999999,13.28,5.1,30.26,0.22801382754908717,0.5483808498655783
